Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[infect]	Sample Characteristic Ontology Term[infect]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[infect]	Factor Value Ontology Term[infect]	Factor Value[time]	Factor Value Ontology Term[time]	Analysed
SRR6039734	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		6 day		Yes
SRR6039735	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		6 day		Yes
SRR6039736	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		6 day		Yes
SRR6039737	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		6 day		Yes
SRR6039738	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		6 day		Yes
SRR6039739	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		8 day		Yes
SRR6039740	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		8 day		Yes
SRR6039741	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		8 day		Yes
SRR6039742	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		12 day		Yes
SRR6039743	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		12 day		Yes
