genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance
AT2G30400,80.1447145014582,-2.10933168377676,0.384674132768603,-5.48342481100907,4.17169628104524e-08,3.38702722156375e-06,Significantly downregulated
AT2G38540,4211.79852391288,1.64560419968119,0.300257122869897,5.48064999741653,4.23766068301129e-08,3.42825230380816e-06,Significantly upregulated
AT1G12064,195.192550671092,1.67126179768293,0.305085417283729,5.47801272365851,4.30129210718344e-08,3.46730229111562e-06,Significantly upregulated
AT3G13470,2353.03575259295,1.21749341848233,0.222477945007766,5.47242297855559,4.43923717489336e-08,3.56576591724264e-06,Significantly upregulated
AT5G06850,181.969339618525,-1.66957620487488,0.305286392327917,-5.46888510864754,4.52875175073852e-08,3.62476793496167e-06,Significantly downregulated
AT1G51790,210.214908796133,-1.52765443991241,0.279599662779997,-5.46372060940016,4.66257182394359e-08,3.71868935117423e-06,Significantly downregulated
AT2G29670,370.86209951663,1.11133939460084,0.203467703307392,5.46199409801106,4.70815736456649e-08,3.74182464350811e-06,Significantly upregulated
AT2G23630,40.1952492487814,-2.15667583856194,0.394983784379115,-5.46016298353128,4.75697681416185e-08,3.76735872534903e-06,Significantly downregulated
AT1G65340,245.751510550587,1.33367707998592,0.244336550671498,5.45836092193591,4.80550059938415e-08,3.7924809100944e-06,Significantly upregulated
AT5G55340,91.7730394865946,1.66936422224483,0.305957557085918,5.45619542182462,4.86444554160099e-08,3.82562370451136e-06,Significantly upregulated
AT2G45900,102.553682165513,1.65830794120008,0.304256614600781,5.45035953737922,5.0268091583292e-08,3.93958713585585e-06,Significantly upregulated
AT1G01070,150.95293595857,-1.56692062837378,0.287669767294608,-5.44694231552345,5.12430724836936e-08,3.98830134148086e-06,Significantly downregulated
AT2G04530,290.701040381719,1.15635387020234,0.212279942665998,5.4473063054372,5.11383552301654e-08,3.98830134148086e-06,Significantly upregulated
AT5G19970,290.20053942281,-1.5144442370629,0.278394991380763,-5.43991193789686,5.33069141788544e-08,4.13467477639492e-06,Significantly downregulated
AT1G20160,1286.21617717439,-2.04469565610435,0.376096720404657,-5.43662187190673,5.43002030507546e-08,4.18513813373238e-06,Significantly downregulated
AT4G31730,427.802865625397,-2.28984321589058,0.421299675069781,-5.43518865878856,5.47384851478258e-08,4.20238893969924e-06,Significantly downregulated
AT3G26760,298.483169855522,-1.13202825813197,0.208370117228072,-5.43277641338994,5.54839114811848e-08,4.24517751200618e-06,Significantly downregulated
AT3G04790,1176.87137449464,1.03558333054286,0.190701506596788,5.43038882609594,5.62314005879789e-08,4.28783426578133e-06,Significantly upregulated
AT5G53190,178.250606824273,-1.79103909255777,0.329940568521301,-5.42836881376756,5.68714246390882e-08,4.32203678629246e-06,Significantly downregulated
AT4G18340,160.635243162324,-1.83458633621944,0.338031537980893,-5.42726382034547,5.72245137021909e-08,4.33427684151729e-06,Significantly downregulated
AT3G20640,147.840433881274,-1.30321871294524,0.240243954665487,-5.4245640218495,5.80961648825322e-08,4.38558039318941e-06,Significantly downregulated
AT4G31800,663.848355065437,1.33520638012363,0.247290126689391,5.39935175738218,6.68821231358436e-08,5.01527043620972e-06,Significantly upregulated
AT5G64100,5574.20919201867,-1.19608056007667,0.221555727009765,-5.39855401717491,6.71801420044081e-08,5.02093703702482e-06,Significantly downregulated
AT5G15970,781.53355915796,1.23258389130222,0.228722244829844,5.38899874919991,7.08512989738501e-08,5.27783719187713e-06,Significantly upregulated
AT2G08770,6248.16535264057,1.67890568790499,0.311943560838655,5.38208156434222,7.36293858560435e-08,5.46673969788407e-06,Significantly upregulated
AT1G52000,192.482054809796,1.75528438852476,0.326939783918455,5.36883082103757,7.9248714994076e-08,5.86466474141406e-06,Significantly upregulated
AT2G40320,129.774215215484,-1.73838042232239,0.323979465717498,-5.36571173877489,8.06306280247782e-08,5.94743106257277e-06,Significantly downregulated
AT2G26560,110.140731611032,-1.49055627613603,0.277867431720534,-5.36427125304544,8.12766867332367e-08,5.97555731679442e-06,Significantly downregulated
AT3G01970,298.883667285686,-1.36570924373127,0.25497781624645,-5.35618848665344,8.49958427099958e-08,6.22870508378998e-06,Significantly downregulated
AT1G61750,59.9467843153902,-2.33927277052085,0.436826652552137,-5.35515119522531,8.54849045397072e-08,6.24427113386968e-06,Significantly downregulated
AT2G18196,194.938894715506,-1.69916226079513,0.31739999927432,-5.35337827561428,8.6327115361342e-08,6.28544942200274e-06,Significantly downregulated
AT3G21690,1690.75748487934,1.0704036166553,0.199988211496265,5.35233356329752,8.68271533371597e-08,6.3015295111673e-06,Significantly upregulated
AT4G32860,435.706230517395,-1.55251646944762,0.290270552695559,-5.34851522150759,8.86787191027971e-08,6.41528002842703e-06,Significantly downregulated
AT1G72970,3464.32595444425,1.60335546732983,0.299865028640981,5.34692382968562,8.94616420839332e-08,6.4512419280398e-06,Significantly upregulated
AT5G59080,369.434711945022,-1.49562010431904,0.279792177944651,-5.34546789444166,9.01837830011967e-08,6.48260562458602e-06,Significantly downregulated
AT5G45390,2761.78832954639,1.13417451005749,0.212392386917703,5.33999606349804,9.29485997395643e-08,6.61811622940601e-06,Significantly upregulated
AT1G74458,155.955284993,-2.11542474274216,0.396704485234877,-5.33249514809412,9.68723586498446e-08,6.8551282950615e-06,Significantly downregulated
AT2G15960,764.032220062549,-1.476423865401,0.277065858713449,-5.32878309964552,9.88729885437156e-08,6.97394445131314e-06,Significantly downregulated
AT1G10640,58.3086418098466,2.15127898106796,0.40393776205338,5.32576843059222,1.00527136575746e-07,7.05054910852091e-06,Significantly upregulated
